1, false
FlatRock, -530, 498
FlatRock, -530, 467
FlatRock, -1714, 33
FlatRock, -1714, 2
FlatRock, -1714, -29
FlatRock, -1714, -60
FlatRock, -1714, -91
FlatRock, -1714, -122
FlatRock, -1714, -153
FlatRock, -1714, -184
FlatRock, -1714, 343
FlatRock, -1714, 374
FlatRock, -1714, 405
FlatRock, -456, 33
FlatRock, -456, 2
FlatRock, -456, -29
FlatRock, -456, -60
FlatRock, -456, -91
FlatRock, -456, -122
FlatRock, -456, -153
FlatRock, -456, -184
FlatRock, -456, 684
FlatRock, -456, 653
FlatRock, -456, 622
FlatRock, -456, 591
FlatRock, -456, 560
FlatRock, -456, 529
FlatRock, -456, 498
FlatRock, -456, 467
FlatRock, -1640, 33
FlatRock, -1640, 2
FlatRock, -1640, -29
FlatRock, -1640, -60
FlatRock, -1640, -91
FlatRock, -1640, -122
FlatRock, -1640, -153
FlatRock, -1640, -184
FlatRock, -1640, 343
FlatRock, -1640, 374
FlatRock, -1640, 405
FlatRock, -382, 33
FlatRock, -382, 2
FlatRock, -382, -29
FlatRock, -382, -60
FlatRock, -382, -91
FlatRock, -382, -122
FlatRock, -382, -153
FlatRock, -382, -184
FlatRock, -382, 684
FlatRock, -382, 653
FlatRock, -382, 622
FlatRock, -382, 591
FlatRock, -382, 560
FlatRock, -382, 529
FlatRock, -382, 498
FlatRock, -382, 467
FlatRock, -1566, 33
FlatRock, -1566, 2
FlatRock, -1566, -29
FlatRock, -1566, -60
FlatRock, -1566, -91
FlatRock, -1566, -122
FlatRock, -1566, -153
FlatRock, -1566, -184
FlatRock, -1566, 343
FlatRock, -1566, 374
FlatRock, -1566, 405
FlatRock, -308, 33
FlatRock, -308, 2
FlatRock, -308, -29
FlatRock, -308, -60
FlatRock, -308, -91
FlatRock, -308, -122
FlatRock, -308, -153
FlatRock, -308, -184
FlatRock, -308, 684
FlatRock, -308, 653
FlatRock, -308, 622
FlatRock, -308, 591
FlatRock, -308, 560
FlatRock, -308, 529
FlatRock, -308, 498
FlatRock, -308, 467
FlatRock, -1492, 33
FlatRock, -1492, 2
FlatRock, -1492, -29
FlatRock, -1492, -60
FlatRock, -1492, -91
FlatRock, -1492, -122
FlatRock, -1492, -153
FlatRock, -1492, -184
FlatRock, -1492, 343
FlatRock, -1492, 374
FlatRock, -1492, 405
FlatRock, -234, 33
FlatRock, -234, 2
FlatRock, -234, -29
FlatRock, -234, -60
FlatRock, -234, -91
FlatRock, -234, -122
FlatRock, -234, -153
FlatRock, -234, -184
FlatRock, -234, 684
FlatRock, -234, 653
FlatRock, -234, 622
FlatRock, -234, 591
FlatRock, -234, 560
FlatRock, -234, 529
FlatRock, -234, 498
FlatRock, -234, 467
FlatRock, -1418, 33
FlatRock, -1418, 2
FlatRock, -1418, -29
FlatRock, -1418, -60
FlatRock, -1418, -91
FlatRock, -1418, -122
FlatRock, -1418, -153
FlatRock, -1418, -184
FlatRock, -1418, 343
FlatRock, -1418, 374
FlatRock, -1418, 405
FlatRock, -160, 33
FlatRock, -160, 2
FlatRock, -160, -29
FlatRock, -160, -60
FlatRock, -160, -91
FlatRock, -160, -122
FlatRock, -160, -153
FlatRock, -160, -184
FlatRock, -160, 684
FlatRock, -160, 653
FlatRock, -160, 622
FlatRock, -160, 591
FlatRock, -160, 560
FlatRock, -160, 529
FlatRock, -160, 498
FlatRock, -160, 467
FlatRock, -1344, 33
FlatRock, -1344, 2
FlatRock, -1344, -29
FlatRock, -1344, -60
FlatRock, -1344, -91
FlatRock, -1344, -122
FlatRock, -1344, -153
FlatRock, -1344, -184
FlatRock, -1344, 343
FlatRock, -1344, 374
FlatRock, -1344, 405
FlatRock, -86, 33
FlatRock, -86, 2
FlatRock, -86, -29
FlatRock, -86, -60
FlatRock, -86, -91
FlatRock, -86, -122
FlatRock, -86, -153
FlatRock, -86, -184
FlatRock, -86, 684
FlatRock, -86, 653
FlatRock, -86, 622
FlatRock, -86, 591
FlatRock, -86, 560
FlatRock, -86, 529
FlatRock, -86, 498
FlatRock, -86, 467
Gate, 446, -122, false
Gate, 386, -122, false
Gate, 326, -122, false
FlatRock, 506, -122
FlatRock, 284, 436
FlatRock, 580, -122
FlatRock, 358, 436
FlatRock, 654, -122
FlatRock, 432, 436
FlatRock, 728, -122
FlatRock, 506, 436
FlatRock, 802, -122
FlatRock, 580, 436
FlatRock, 876, -122
FlatRock, 654, 436
FlatRock, 950, -122
FlatRock, 728, 436
FlatRock, 1024, -122
FlatRock, 802, 436
FlatRock, 1098, -122
FlatRock, 876, 436
FlatRock, 1172, -122
FlatRock, 950, 436
FlatRock, 1246, -122
FlatRock, 1024, 436
RightRock, -15, -184
LeftRock, -771, -184
LeftRock, -771, 467
RightRock, -15, 467
RightRock, -15, -153
LeftRock, -771, -153
LeftRock, -771, 498
RightRock, -15, 498
RightRock, -15, -122
LeftRock, -771, -122
LeftRock, -771, 529
RightRock, -15, 529
RightRock, -15, -91
LeftRock, -771, -91
LeftRock, -771, 560
RightRock, -15, 560
RightRock, -15, -60
LeftRock, -771, -60
LeftRock, -771, 591
RightRock, -15, 591
RightRock, -15, -29
LeftRock, -771, -29
LeftRock, -771, 622
RightRock, -15, 622
RightRock, -15, 2
LeftRock, -771, 2
LeftRock, -771, 653
RightRock, -15, 653
RightRock, -15, 33
LeftRock, -771, 33
LeftRock, -771, 684
RightRock, -15, 684
LeftRock, 264, -618
LeftRock, 264, -587
LeftRock, 264, -556
LeftRock, 264, -525
LeftRock, 264, -494
LeftRock, 264, -463
LeftRock, 264, -432
LeftRock, 264, -401
LeftRock, 264, -370
LeftRock, 264, -339
LeftRock, 264, -308
LeftRock, 264, -277
LeftRock, 264, -246
LeftRock, 264, -215
LeftRock, 264, -184
LeftRock, 264, -153
LeftRock, 264, -122
LeftRock, 264, -91
LeftRock, 264, -60
LeftRock, 264, -29
LeftRock, 264, 2
LeftRock, 264, 33
LeftRock, 264, 64
LeftRock, 264, 95
LeftRock, 264, 126
LeftRock, 264, 157
LeftRock, 264, 188
LeftRock, 264, 219
LeftRock, 264, 250
LeftRock, 264, 281
LeftRock, 264, 312
LeftRock, 264, 343
LeftRock, 264, 374
LeftRock, 264, 405
LeftRock, 264, 436
LeftEdge, -1450, -244
RightEdge, -1360, -244
FlatRock, -1405, -211
LeftEdge, -1450, 283
RightEdge, -1360, 283
FlatRock, -1405, 316
FlatRock, 1320, -649
RedRobot, -580, -370, 6, 100, -20
RedRobot, -230, -370, 6, 100, -20
RedRobot, 720, 500, 6, 100, -20
RedRobot, 770, 260, 6, 100, -20
BlueRobot, -1910, 250, 6, 70, 20
BlueRobot, -710, 380, 6, 70, 20
BlueRobot, -210, 380, 6, 70, 20
BlueRobot, 390, 630, 6, 70, 20
BlueRobot, 390, 350, 6, 70, 20
BlueRobot, -1910, 620, 6, 70, 20
Wing, -1180, -140, 6, 100, -20
Wing, 1020, 530, 6, 100, -20
Wing, -1430, 140, 6, 100, -20
TwoGun, -180, -620, 6, 100, 20
TwoGun, 570, 465, 6, 100, 20
DarkRaise, 1190, -285, 60, 0
